,names,emptyPercent,fullPercent,annoyedPercent,lat,long,dist_to_mcgill
76,Lambert-Closse / Tupper,0.074274705349048051,0.018189884649511979,0.092464589998560026,45.489609000000002,-73.582444999999993,0.00031534078600013499
77,Notre-Dame / Peel,0.00016458873390116447,0.014229481971077946,0.01439407070497911,45.495199999999997,-73.563280000000006,0.00028932519999982741
78,Saint-Jacques / Guy,0.014259313704901508,0.16395445438107803,0.17821376808597955,45.491379999999999,-73.570149999999998,0.00025766450000010187
79,Métro Lucien-L'Allier,0.072906888382280627,0.027474747474747475,0.1003816358570281,45.494859999999996,-73.571080000000009,0.00015592400000004686
80,Baile / St-Mathieu,0.28140943877551022,0.024755203255478784,0.30616464203098903,45.492845000000003,-73.577781000000002,0.00018186274600010216
81,Crescent / René-Lévesque,0.19361944746799356,0.020816180040956783,0.21443562750895034,45.49606,-73.573480000000004,0.00011114000000004784
82,Chateaubriand / Beaubien,0.080547359617127057,0.016179936037704089,0.096727295654831152,45.535431000000003,-73.603521999999998,0.0015975136850001665
83,Métro Atwater,0.031691741530468664,0.0096069136216805802,0.041298655152149241,45.489903999999996,-73.585961999999995,0.00036177146000037079
84,Chomedey / de Maisonneuve,0.029142881668741148,0.028021426894594192,0.057164308563335341,45.49156,-73.583799999999997,0.00027295880000022986
85,Lucien-L'Allier / Saint-Jacques,0.0085509301743555526,0.23068521648680276,0.23923614666115831,45.493209999999998,-73.567949999999996,0.00023817380000013317
86,Sainte-Catherine / Saint-Marc,0.064809123813426212,0.021361270059802952,0.086170393873229167,45.492750000000001,-73.580609999999993,0.00020125220000012675
87,Bishop / Sainte-Catherine,0.1564219501313637,0.0077049624122779619,0.16412691254364167,45.496420000000001,-73.576160000000002,9.6436000000093631e-05
88,Crescent / de Maisonneuve,0.18839103869653767,0.026126994324874184,0.21451803302141187,45.498103999999998,-73.577729000000005,6.8471577000160381e-05
89,de Maisonneuve / Mackay,0.091218595914533934,0.033596009094320464,0.1248146050088544,45.496590000000005,-73.578509999999994,9.836660000002136e-05
